cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,absolute-pressure,      x-velocity,      y-velocity,      z-velocity
    142491,-1.101992000E-02,-1.906560734E-02,-1.811059564E-02, 2.366994531E+04,-8.152796030E-01, 1.539649010E+00, 3.184241295E+00
    142492,-1.212731898E-01,-7.178308815E-02,-1.166988350E-02, 1.221290625E+04, 7.256602049E-01,-1.494626641E+00, 3.433392048E+00
    142493,-1.132456958E-02,-1.839647442E-02,-1.668958925E-02, 1.987759375E+04,-7.642347217E-01, 1.633157730E+00, 3.283015490E+00
    142494,-4.304842278E-02,-1.001167297E-01, 4.527497292E-02,-5.411140625E+04, 1.553958893E+00, 6.678441763E-01, 4.528077126E+00
    142495,-7.870377041E-03,-2.993465960E-02,-1.465874165E-02,-5.559121875E+04,-4.521725178E-01, 1.299337029E+00, 1.867774844E+00
    142496,-7.736602798E-03,-3.053595498E-02,-1.501383353E-02,-4.934578125E+04,-4.591316283E-01, 1.108630538E+00, 1.701188207E+00
    142497,-7.763709407E-03,-3.041091375E-02,-1.461370476E-02,-5.412057813E+04,-4.104332328E-01, 1.211314678E+00, 1.906324148E+00
    142498,-9.741646051E-02, 2.972128242E-02, 2.612075210E-02,-4.614257813E+04,-1.811998487E+00,-7.101662755E-01, 4.361640453E+00
    142499,-1.378952116E-01,-7.954156399E-02,-4.251857102E-02, 6.272177344E+04, 3.278682008E-02,-3.743338287E-01, 2.557631016E+00
    142500,-1.748526655E-02,-8.051836491E-02, 5.589517578E-02,-4.651079688E+04, 1.371428132E+00, 1.675006986E+00, 4.112280846E+00
    142501,-1.224442273E-01,-6.887429208E-02, 6.509921700E-02,-3.584471875E+04, 5.999220014E-01,-1.516521692E+00, 3.719041824E+00
    142502,-4.912854731E-02,-1.212074459E-01, 4.052320123E-02,-4.245681250E+04,-1.060179025E-01,-1.323163211E-01,-4.920067489E-01
